,stop_name,stop_lat,stop_lon
471,EAST BRIDGE ST + SETTLERS,43.696813,-70.336842
472,AUSTIN ST + EAST BRIDGE,43.697423,-70.338916
473,AUSTIN ST + WOODLAND,43.700474,-70.33941
474,PRIDE ST + AUSTIN,43.703925,-70.340741
475,PRIDES,43.708725,-70.337694
476,PRIDE ST + 337 PRIDE,43.711459,-70.335698
477,BRIDGTON RD + PRIDE,43.713277,-70.333327
478,BRIDGTON RD + GRANDVIEW,43.711843,-70.331868
479,BRIDGTON RD + 216 BRIDGTON,43.708921,-70.329304
480,BRIDGTON RD + REED,43.70689,-70.327678
483,ROUTE 1 + DEPOT RD,43.722104,-70.232473
484,344 RAY,43.700647,-70.279351
485,FORESIDE RD + OLD MILL,43.719466,-70.227079
486,WASHINGTON AVE EXT + SKYLARK,43.704446,-70.292326
487,BRUNSWICK TRAIN,43.911217,-69.965622
488,PLEASANT AVE + CHURCH,43.912218,-69.988154
489,BOWDOIN,43.910403,-69.96248
490,MAINE ST + SCHOOL,43.912774,-69.981346
491,MAINE ST + EVERETT,43.913791,-69.964606
492,RUNNING HILL RD + 82 RUNNING,43.637839,-70.342415
496,EAST BRIDGE ST + INDEPENDENCE,43.696724,-70.336763
497,EAST BRIDGE ST + AUSTIN,43.697128,-70.34009
498,RIVERSIDE ST +,43.702081,-70.319681
499,EAST BRIDGE ST +,43.696297,-70.344124
500,E BRIDGE ST + PURITAN,43.696221,-70.343925
501,EAST BRDIGE ST + DOLLEY,43.695576,-70.347289
502,E BRIDGE ST + HALIDON,43.695572,-70.3468
503,EAST BRIDGE ST + 96 EAST,43.69514,-70.352752
504,E BRIDGE ST + STERLING,43.695159,-70.351223
505,BRIDGE ST + 556 BRIDGE,43.693492,-70.358656
506,BRIDGE ST + LUGRIN,43.693214,-70.358656
507,WESTBROOK COMMUNITY,43.68987,-70.359357
508,W COMMUNITY CENTER,43.690024,-70.359078
509,MECHANIC &,43.676479,-70.369018
510,WILLIAM CLARK DR + SPRING ST,43.67536,-70.363276
511,WILLIAM CLARK DR + SPRING,43.675552,-70.363329
512,SPRING ST + GLENWOOD,43.671178,-70.360866
513,SPRING ST + 165 SPRING,43.670741,-70.36086
514,SPRING ST + BLUE,43.665748,-70.358993
515,SPRING ST + LANDING,43.666006,-70.358784
516,SPRING ST + HUSSON,43.650307,-70.357926
517,SPRING ST + COUNTY,43.650644,-70.35774
522,GORHAM RD + MALL,43.636677,-70.333712
523,GORHAM RD +,43.636902,-70.33364
524,FODEN RD + GORHAM,43.636138,-70.329512
526,HAMLET,43.657315,-70.385975
527,PROSPEC ST + MECHANIC,43.669902,-70.37122
528,MECHANIC ST + W VALENTINE,43.674345,-70.369473
529,USM CAMPUS,43.680669,-70.448168
530,MAIN ST + ELM,43.680721,-70.439523
531,MAIN ST + WATER,43.680473,-70.440852
533,SACO ST + SPILLER,43.65974,-70.382031
541,ABBOTT,43.662198,-70.366639
542,55 BRADLEY,43.66432,-70.369511
543,Thompson's,43.651296,-70.290114
545,CEDAR ST PARK &,43.911879,-69.970856
546,BRUNSWICK PARK &,43.911585,-69.970985
547,WASHINGTON AVE + 1815,43.712205,-70.299044
548,WASHINGTON AVE + DEERING RUN,43.71225,-70.299245
549,MAIN + LIBBY,43.686821,-70.419243
550,MAIN ST + LIBBY ST,43.686793,-70.418768
553,HANCOCK ST + THAMES,43.660316,-70.247492
554,WASHINGTON AVE AND CUMBERLAND,43.663721,-70.251396
